iter	Passed	Remaining
936	2560	172
937	2564	169
938	2571	167
939	2574	164
940	2577	161
941	2585	159
942	2587	156
943	2591	153
944	2594	151
945	2596	148
946	2597	145
947	2599	142
948	2600	139
949	2602	136
950	2603	134
951	2606	131
952	2609	128
953	2611	125
954	2614	123
955	2615	120
956	2617	117
957	2621	114
958	2623	112
959	2624	109
960	2626	106
961	2627	103
962	2628	101
963	2630	98
964	2631	95
965	2634	92
966	2635	89
967	2637	87
968	2639	84
969	2640	81
970	2643	78
971	2655	76
972	2658	73
973	2667	71
974	2669	68
975	2672	65
976	2674	62
977	2676	60
978	2678	57
979	2680	54
980	2682	51
981	2683	49
982	2684	46
983	2686	43
984	2687	40
985	2688	38
986	2690	35
987	2692	32
988	2695	29
989	2697	27
990	2698	24
991	2699	21
992	2701	19
993	2702	16
994	2703	13
995	2705	10
996	2707	8
997	2709	5
998	2710	2
999	2711	0
